id,stationName,gegrLat,gegrLon,city,addressStreet
291,Gajew,52.14325,19.233225,"{'id': 209, 'name': 'Gajew', 'commune': {'communeName': 'Witonia', 'districtName': 'łęczycki', 'provinceName': 'ŁÓDZKIE'}}",Ujęcie wody
319,Parzniewice,51.291175,19.517556,"{'id': 673, 'name': 'Parzniewice', 'commune': {'communeName': 'Wola Krzysztoporska', 'districtName': 'piotrkowski', 'provinceName': 'ŁÓDZKIE'}}",Ujęcie wody
322,Piotrków Tryb.-Krakowskie Przedmieście,51.404406,19.696956,"{'id': 703, 'name': 'Piotrków Trybunalski', 'commune': {'communeName': 'Piotrków Trybunalski', 'districtName': 'Piotrków Trybunalski', 'provinceName': 'ŁÓDZKIE'}}",ul. Krakowskie Przedmieście 13
331,Radomsko-Rolna2,51.067439,19.448694,"{'id': 773, 'name': 'Radomsko', 'commune': {'communeName': 'Radomsko', 'districtName': 'radomszczański', 'provinceName': 'ŁÓDZKIE'}}",ul. Rolna 2
562,Żyrardów-Roosevelta,52.053811,20.429892,"{'id': 1130, 'name': 'Żyrardów', 'commune': {'communeName': 'Żyrardów', 'districtName': 'żyrardowski', 'provinceName': 'MAZOWIECKIE'}}",ul. Roosevelta 2
9913,Guty Duże,52.943172,21.288167,"{'id': 2181, 'name': 'Guty Duże', 'commune': {'communeName': 'Czerwonka', 'districtName': 'makowski', 'provinceName': 'MAZOWIECKIE'}}",Guty Duże 4
10434,Konstancin-Jeziorna-Wierzejewskiego,52.080625,21.111186,"{'id': 395, 'name': 'Konstancin-Jeziorna', 'commune': {'communeName': 'Konstancin-Jeziorna', 'districtName': 'piaseczyński', 'provinceName': 'MAZOWIECKIE'}}",Wierzejewskiego 12
10974,Mińsk Mazowiecki-Kazikowskiego,52.178766,21.560968,"{'id': 566, 'name': 'Mińsk Mazowiecki', 'commune': {'communeName': 'Mińsk Mazowiecki', 'districtName': 'miński', 'provinceName': 'MAZOWIECKIE'}}",Zygmunta Kazikowskiego 18
11358,Biała-Kmicica,52.602534,19.6451,"{'id': 2661, 'name': 'Biała', 'commune': {'communeName': 'Stara Biała', 'districtName': 'płocki', 'provinceName': 'MAZOWIECKIE'}}",ul. Kmicica 33
590,Opole manualna 4,50.676856,17.950278,"{'id': 645, 'name': 'Opole', 'commune': {'communeName': 'Opole', 'districtName': 'Opole', 'provinceName': 'OPOLSKIE'}}",os. Armii Krajowej
10374,Opole automat 5,50.666736,17.899137,"{'id': 645, 'name': 'Opole', 'commune': {'communeName': 'Opole', 'districtName': 'Opole', 'provinceName': 'OPOLSKIE'}}",ul. Koszyka 21
568,K-Koźle automat 1,50.349608,18.236575,"{'id': 355, 'name': 'Kędzierzyn-Koźle', 'commune': {'communeName': 'Kędzierzyn-Koźle', 'districtName': 'kędzierzyńsko-kozielski', 'provinceName': 'OPOLSKIE'}}",ul. Bolesława Śmiałego 5
584,Olesno automat 4,50.876983,18.416878,"{'id': 636, 'name': 'Olesno', 'commune': {'communeName': 'Olesno', 'districtName': 'oleski', 'provinceName': 'OPOLSKIE'}}",ul. Słowackiego
600,Zdzieszowice automat 2,50.423533,18.120739,"{'id': 1097, 'name': 'Zdzieszowice', 'commune': {'communeName': 'Zdzieszowice', 'districtName': 'krapkowicki', 'provinceName': 'OPOLSKIE'}}",ul. Piastów 6
8976,Nysa manualna 3,50.458989,17.331906,"{'id': 628, 'name': 'Nysa', 'commune': {'communeName': 'Nysa', 'districtName': 'nyski', 'provinceName': 'OPOLSKIE'}}",ul. Rodziewiczówny 1
11399,Prudnik mobilna,50.320858,17.591909,"{'id': 735, 'name': 'Prudnik', 'commune': {'communeName': 'Prudnik', 'districtName': 'prudnicki', 'provinceName': 'OPOLSKIE'}}",ul. Podgórna 5
16181,Strzelce Opolskie mobilna,50.509334,18.288206,"{'id': 891, 'name': 'Strzelce Opolskie', 'commune': {'communeName': 'Strzelce Opolskie', 'districtName': 'strzelecki', 'provinceName': 'OPOLSKIE'}}",Kardynała Wyszyńskiego 12
671,Rzeszów-Nowe Miasto,50.024242,22.010575,"{'id': 810, 'name': 'Rzeszów', 'commune': {'communeName': 'Rzeszów', 'districtName': 'Rzeszów', 'provinceName': 'PODKARPACKIE'}}",Rejtana
10125,Rzeszów-Piłsudskiego,50.040675,22.004656,"{'id': 810, 'name': 'Rzeszów', 'commune': {'communeName': 'Rzeszów', 'districtName': 'Rzeszów', 'provinceName': 'PODKARPACKIE'}}",Piłsudskiego
631,Jarosław-PWSTE-WIOS,50.012083,22.674772,"{'id': 303, 'name': 'Jarosław', 'commune': {'communeName': 'Jarosław', 'districtName': 'jarosławski', 'provinceName': 'PODKARPACKIE'}}",Pruchnicka
638,Jaslo-Sikorskiego-WIOS,49.744886,21.454617,"{'id': 306, 'name': 'Jasło', 'commune': {'communeName': 'Jasło', 'districtName': 'jasielski', 'provinceName': 'PODKARPACKIE'}}",Sikorskiego
646,Krosno-Kletówki,49.690169,21.7497,"{'id': 425, 'name': 'Krosno', 'commune': {'communeName': 'Krosno', 'districtName': 'Krosno', 'provinceName': 'PODKARPACKIE'}}",Kletówki
659,Nisko-Szklarniowa-WIOS,50.529892,22.112467,"{'id': 600, 'name': 'Nisko', 'commune': {'communeName': 'Nisko', 'districtName': 'niżański', 'provinceName': 'PODKARPACKIE'}}",Szklarniowa
665,Przemysl-Grunwaldzka-WIOS,49.784339,22.756239,"{'id': 748, 'name': 'Przemyśl', 'commune': {'communeName': 'Przemyśl', 'districtName': 'Przemyśl', 'provinceName': 'PODKARPACKIE'}}",Grunwaldzka
870,WIOŚ Gołdap ul. Jaćwieska,54.305908,22.307681,"{'id': 241, 'name': 'Gołdap', 'commune': {'communeName': 'Gołdap', 'districtName': 'gołdapski', 'provinceName': 'WARMIŃSKO-MAZURSKIE'}}",ul. Jaćwieska 17
