,id,stCalcDate,stIndexLevel,stSourceDataDate,so2CalcDate,so2IndexLevel,so2SourceDataDate,no2CalcDate,no2IndexLevel,no2SourceDataDate,coCalcDate,coIndexLevel,coSourceDataDate,pm10CalcDate,pm10IndexLevel,pm10SourceDataDate,pm25CalcDate,pm25IndexLevel,pm25SourceDataDate,o3CalcDate,o3IndexLevel,o3SourceDataDate,c6h6CalcDate,c6h6IndexLevel,c6h6SourceDataDate,stIndexStatus,stIndexCrParam
id,232,2020-05-05 18:21:26,1,2020-05-05 17:00:00,2020-05-05 18:21:26,0,2020-05-05 17:00:00,1588695686000,0,2020-05-05 17:00:00,2020-05-05 18:21:26,0,2020-05-05 17:00:00,2020-05-05 18:21:26,,,2020-05-05 18:21:26,,,2020-05-05 18:21:26,1,2020-05-05 17:00:00,2020-05-05 18:21:26,0,2020-05-05 17:00:00,True,OZON
indexLevelName,232,2020-05-05 18:21:26,Dobry,2020-05-05 17:00:00,2020-05-05 18:21:26,Bardzo dobry,2020-05-05 17:00:00,1588695686000,Bardzo dobry,2020-05-05 17:00:00,2020-05-05 18:21:26,Bardzo dobry,2020-05-05 17:00:00,2020-05-05 18:21:26,,,2020-05-05 18:21:26,,,2020-05-05 18:21:26,Dobry,2020-05-05 17:00:00,2020-05-05 18:21:26,Bardzo dobry,2020-05-05 17:00:00,True,OZON
